,1N-Z,n,z,A,EL,O,mass_excess,mass_unc,binding_energy,bind_ener_unc,beta_mode,beta_ener,beta_unc,atomic_mass,atom_mass_unc,symbol,a,radius_val,radius_unc,radius_preliminary_val,radius_preliminary_unc,parity_encoder,isospin_asymmetry
0,1,1,0,1,n,,8071.31806,0.00044,0.0,0.0,B-,782.347,0.0004,8664.9159,0.00047,n,1.0,-0.1149,0.0027,,,Even-Odd,1.0
1,-1,0,1,1,H,,7288.971064,1.3e-05,0.0,0.0,B-,,,7825.031898,1.4e-05,H,1.0,0.8783,0.0086,,,Even-Odd,-1.0
2,0,1,1,2,H,,13135.722895,1.5e-05,1.1122831000000002,0.0002,B-,,,14101.777844,1.5e-05,H,2.0,2.1421,0.0088,,,Odd-Odd,0.0
3,1,2,1,3,H,,14949.8109,8e-05,2.8272654000000004,0.0003,B-,18.59202,6e-05,16049.28132,8e-05,H,3.0,1.7591,0.0363,,,Even-Odd,0.33333333333333337
4,2,3,1,4,H,-n,24621.129,100.0,1.7204491,25.0,B-,22196.2131,100.0,26431.867,107.354,,,,,,,Odd-Odd,
5,3,4,1,5,H,-nn,32892.447,89.443,1.3363592000000002,17.8885,B-,21661.2131,91.6515,35311.492,96.02,,,,,,,Even-Odd,
6,4,5,1,6,H,-3n,41875.725,254.127,0.9616395,42.3545,B-,24283.6294,254.1268,44955.437,272.816,,,,,,,Odd-Odd,
7,5,6,1,7,H,-nn,,,,,B-,,,,,,,,,,,Even-Odd,
8,-1,1,2,3,He,,14931.21888,6e-05,2.57268044,0.00015,B-,,,16029.32197,6e-05,He,3.0,1.9661,0.003,,,Even-Odd,-0.33333333333333326
9,0,2,2,4,He,,2424.91587,0.00015,7.0739156,0.0002,B-,-22898.274,212.132,2603.25413,0.00016,He,4.0,1.6755,0.0028,,,Even-Even,0.0
10,1,3,2,5,He,-n,11231.234,20.0,5.5121325,4.0,B-,-447.6529,53.8516,12057.224,21.47,,,,,,,Even-Odd,
11,2,4,2,6,He,,17592.095,0.053,4.878519900000001,0.0089,B-,3505.2147,0.0532,18885.889,0.057,He,6.0,2.066,0.0111,,,Even-Even,0.33333333333333337
12,3,5,2,7,He,-n,26073.128,7.559,4.1230578,1.0799,B-,11166.0229,7.5595,27990.652,8.115,,,,,,,Even-Odd,
13,4,6,2,8,He,,31609.683,0.089,3.9245210000000004,0.0111,B-,10663.8784,0.1005,33934.388,0.095,He,8.0,1.9239,0.0306,,,Even-Even,0.5
14,5,7,2,9,He,,40935.826,46.816,3.349038,5.2018,B-,15980.9213,46.8169,43946.414,50.259,,,,,,,Even-Odd,
15,6,8,2,10,He,-nn,49197.147,92.848,2.995134,9.2848,B-,16144.5191,93.7152,52815.306,99.676,,,,,,,Even-Even,
16,-3,0,3,3,Li,-pp,,,,,B-,,,,,,,,,,,Even-Odd,
17,-2,1,3,4,Li,-p,25323.19,212.132,1.1537602999999998,53.033,B-,,,27185.561,227.733,,,,,,,Odd-Odd,
18,-1,2,3,5,Li,-p,11678.887,50.0,5.266132499999999,10.0,B-,,,12537.8,53.677,,,,,,,Even-Odd,
19,0,3,3,6,Li,,14086.88044,0.00144,5.3323312,0.0003,B-,-4288.1534,5.4478,15122.88742,0.00155,Li,6.0,2.589,0.039,,,Odd-Odd,0.0
20,1,4,3,7,Li,,14907.10463,0.00419,5.6064400999999995,0.0006,B-,-861.893,0.0707,16003.43426,0.0045,Li,7.0,2.444,0.042,,,Even-Odd,0.1428571428571429
21,2,5,3,8,Li,,20945.805,0.047,5.1597124,0.0059,B-,16004.1329,0.0591,22486.244,0.05,Li,8.0,2.339,0.044,,,Odd-Odd,0.25
22,3,6,3,9,Li,-3n,24954.905,0.186,5.0377685,0.0207,B-,13606.4541,0.2014,26790.191,0.2,Li,9.0,2.245,0.046,,,Even-Odd,0.33333333333333337
23,4,7,3,10,Li,-n,33052.628,12.721,4.5313512000000005,1.2721,B-,20445.1411,12.7216,35483.453,13.656,,,,,,,Odd-Odd,
24,5,8,3,11,Li,x,40728.259,0.615,4.1553816999999995,0.0559,B-,20551.0898,0.6591,43723.581,0.66,Li,11.0,2.482,0.043,,,Even-Odd,0.4545454545454546
25,6,9,3,12,Li,-n,49009.577,30.006,3.7915999,2.5005,B-,23931.8152,30.0669,52613.942,32.213,,,,,,,Odd-Odd,
26,7,10,3,13,Li,-nn,56980.895,70.003,3.5076307,5.3848,B-,23321.8152,70.7391,61171.503,75.15,,,,,,,Even-Odd,
27,-3,1,4,5,Be,x,,,,,B-,,,,,,,,,,,Even-Odd,
28,-2,2,4,6,Be,-,18375.034,5.448,4.4872478000000005,0.908,B-,,,19726.409,5.848,,,,,,,Even-Even,
29,-1,3,4,7,Be,,15768.998,0.071,5.3715487,0.0101,B-,-11907.5551,25.1504,16928.714,0.076,Be,7.0,2.646,0.016,2.646,0.016,Even-Odd,-0.1428571428571428
30,0,4,4,8,Be,-a,4941.672,0.035,7.0624356,0.0044,B-,-17979.8973,1.0005,5305.102,0.037,,,,,,,Even-Even,
31,1,5,4,9,Be,,11348.451,0.076,6.4626693,0.0085,B-,-1068.0349,0.8994,12183.062,0.082,Be,9.0,2.519,0.012,2.519,0.012,Even-Odd,0.11111111111111116
32,2,6,4,10,Be,,12607.487,0.081,6.497630600000001,0.0081,B-,556.8759,0.0822,13534.692,0.086,Be,10.0,2.355,0.017,2.361,0.017,Even-Even,0.19999999999999996
33,3,7,4,11,Be,,20177.169,0.238,5.9525402000000005,0.0216,B-,11509.4607,0.238,21661.08,0.255,Be,11.0,2.463,0.015,2.466,0.015,Even-Odd,0.2727272727272727
34,4,8,4,12,Be,,25077.761,1.909,5.7207223,0.159,B-,11708.3636,2.3214,26922.082,2.048,Be,12.0,,,2.503,0.015,Even-Even,0.33333333333333337
35,5,9,4,13,Be,-n,33659.08,10.18,5.241435900000001,0.7831,B-,17097.1315,10.2295,36134.506,10.929,,,,,,,Even-Odd,
36,6,10,4,14,Be,x,39954.502,132.245,4.9938972999999995,9.4461,B-,16290.8166,133.9357,42892.92,141.97,,,,,,,Even-Even,
37,7,11,4,15,Be,-n,49825.821,165.797,4.5409708,11.0532,B-,20868.4411,167.1256,53490.215,177.99,,,,,,,Even-Odd,
38,8,12,4,16,Be,-nn,57447.139,165.797,4.2852851,10.3623,B-,20335.4399,167.6075,61672.036,177.99,,,,,,,Even-Even,
39,-4,1,5,6,B,x,,,,,B-,,,,,,,,,,,Odd-Odd,
40,-3,2,5,7,B,p4n,27676.553,25.15,3.5587055,3.5929,B-,,,29712.0,27.0,,,,,,,Even-Odd,
41,-2,3,5,8,B,,22921.569,1.0,4.7171551,0.125,B-,-12142.7002,18.2704,24607.315,1.073,,,,,,,Odd-Odd,
42,-1,4,5,9,B,-,12416.486,0.903,6.2570713,0.1003,B-,-16494.4854,2.3195,13329.645,0.969,,,,,,,Even-Odd,
43,0,5,5,10,B,,12050.611,0.015,6.475083499999999,0.0015,B-,-3648.0623,0.0687,12936.862,0.016,B,10.0,2.4277,0.0499,,,Odd-Odd,0.0
44,1,6,5,11,B,,8667.708,0.012,6.9277323,0.0011,B-,-1981.6889,0.0608,9305.166,0.013,B,11.0,2.406,0.0294,,,Even-Odd,0.09090909090909094
45,2,7,5,12,B,,13369.398,1.321,6.6312237,0.1101,B-,13369.3979,1.3214,14352.638,1.418,,,,,,,Odd-Odd,
46,3,8,5,13,B,-nn,16561.948,1.0,6.4964194,0.0769,B-,13436.9387,1.0001,17779.981,1.073,,,,,,,Even-Odd,
47,4,9,5,14,B,,23663.686,21.213,6.1016451,1.5152,B-,20643.7926,21.2133,25404.01,22.773,,,,,,,Odd-Odd,
48,5,10,5,15,B,,28957.379,21.029,5.8800438,1.4019,B-,19084.2343,21.0442,31087.023,22.575,,,,,,,Even-Odd,
49,6,11,5,16,B,,37111.699,24.566,5.5073535,1.5354,B-,23417.5656,24.8254,39841.045,26.373,,,,,,,Odd-Odd,
50,7,12,5,17,B,x,43716.322,204.104,5.2696677,12.0061,B-,22684.4422,204.841,46931.399,219.114,,,,,,,Even-Odd,
51,8,13,5,18,B,-n,51792.64,204.165,4.9766306,11.3425,B-,26873.3742,206.3572,55601.683,219.18,,,,,,,Odd-Odd,
52,9,14,5,19,B,x,59770.251,525.363,4.7196346,27.6507,B-,27356.4961,534.4964,64166.0,564.0,,,,,,,Even-Odd,
53,10,15,5,20,B,-n,69401.569,546.357,4.4056529,27.3178,B-,31898.0019,593.0377,74505.644,586.538,,,,,,,Odd-Odd,
54,11,16,5,21,B,-nn,78382.887,558.664,4.1525265,26.6031,B-,,,84147.485,599.75,,,,,,,Even-Odd,
55,-4,2,6,8,C,,35064.269,18.243,3.1015241999999996,2.2804,B-,,,37643.039,19.584,,,,,,,Even-Even,
56,-3,3,6,9,C,-pp,28910.971,2.137,4.3374233,0.2374,B-,,,31037.202,2.293,,,,,,,Even-Odd,
57,-2,4,6,10,C,,15698.673,0.07,6.0320426,0.007,B-,-23101.3545,400.0,16853.217,0.075,,,,,,,Even-Even,
58,-1,5,6,11,C,,10649.397,0.06,6.6764563,0.0054,B-,-13716.2469,5.0008,11432.597,0.064,,,,,,,Even-Odd,
59,0,6,6,12,C,,0.0,0.0,7.680144599999999,0.0002,B-,-17338.0681,0.9999,0.0,0.0,C,12.0,2.4702,0.0022,,,Even-Even,0.0
60,1,7,6,13,C,,3125.00933,0.00023,7.4698495000000005,0.0002,B-,-2220.4718,0.2695,3354.83534,0.00025,C,13.0,2.4614,0.0034,,,Even-Odd,0.07692307692307687
61,2,8,6,14,C,,3019.89328,0.00375,7.5203198,0.0004,B-,156.4765,0.0037,3241.98862,0.00403,C,14.0,2.5025,0.0087,,,Even-Even,0.1428571428571429
62,3,9,6,15,C,-n,9873.145,0.8,7.1001696,0.0533,B-,9771.7071,0.8,10599.256,0.858,,,,,,,Even-Odd,
63,4,10,6,16,C,-nn,13694.133,3.578,6.9220546,0.2236,B-,8010.226,4.254,14701.255,3.84,,,,,,,Even-Even,
64,5,11,6,17,C,2p-n,21031.88,17.365,6.5580262000000005,1.0215,B-,13161.8007,22.9464,22578.65,18.641,,,,,,,Even-Odd,
65,6,12,6,18,C,++,24919.266,30.0,6.4261321,1.6667,B-,11806.0982,35.2821,26751.93,32.206,,,,,,,Even-Even,
66,7,13,6,19,C,-n,32413.754,98.389,6.118274,5.1784,B-,16557.4995,99.7475,34797.594,105.625,,,,,,,Even-Odd,
67,8,14,6,20,C,x,37503.567,230.625,5.9614356,11.5312,B-,15737.0689,243.7459,40261.732,247.585,,,,,,,Even-Even,
68,9,15,6,21,C,x,,,,,B-,,,,,,,,,,,Even-Odd,
69,10,16,6,22,C,-nn,53611.203,231.49,5.4210778,10.5223,B-,21846.3983,311.0627,57553.99,248.515,,,,,,,Even-Even,
70,11,17,6,23,C,x,,,,,B-,,,,,,,,,,,Even-Odd,
71,-4,3,7,10,N,--,38800.027,400.0,3.6436724,40.0,B-,,,41653.54,429.417,,,,,,,Odd-Odd,
72,-3,4,7,11,N,-p,24365.644,5.0,5.3584023,0.4546,B-,-23373.2693,60.2459,26157.593,5.368,,,,,,,Even-Odd,
73,-2,5,7,12,N,,17338.068,1.0,6.170109999999999,0.0833,B-,-14675.2668,12.0418,18613.18,1.073,,,,,,,Odd-Odd,
74,-1,6,7,13,N,-p,5345.481,0.27,7.2388634000000005,0.0207,B-,-17769.9506,9.5301,5738.609,0.289,,,,,,,Even-Odd,
75,0,7,7,14,N,,2863.41683,0.00022,7.475614800000001,0.0002,B-,-5144.3643,0.0252,3074.00425,0.00024,N,14.0,2.5582,0.007,,,Odd-Odd,0.0
76,1,8,7,15,N,,101.43809,0.00058,7.6994603,0.0002,B-,-2754.1841,0.4902,108.89827,0.00062,N,15.0,2.6058,0.008,,,Even-Odd,0.06666666666666665
77,2,9,7,16,N,-n,5683.907,2.301,7.3737971,0.1438,B-,10420.9094,2.3014,6101.925,2.47,,,,,,,Odd-Odd,
78,3,10,7,17,N,+p,7870.079,15.0,7.2862294,0.8824,B-,8678.843,15.0,8448.876,16.103,,,,,,,Even-Odd,
79,4,11,7,18,N,+,13113.167,18.57,7.038562700000001,1.0316,B-,13895.9838,18.5695,14077.563,19.935,,,,,,,Odd-Odd,
