,mass_excess,binding_energy,beta_ener,atomic_mass,radius_val,1N-Z,n,z,A,EL,O,mass_unc,bind_ener_unc,beta_mode,beta_unc,atom_mass_unc,symbol,a,radius_unc,radius_preliminary_val,radius_preliminary_unc,parity_encoder,isospin_asymmetry,a^1/3
0,1.676383296195553,-11.73523769591193,0.49838913149921316,-3.06903176119498,-5.9090718262380415,1,1,0,1,n,,0.00044,0.0,B-,0.0004,0.00047,n,1,0.0027,,,Even-Odd,1.0,1.0
1,1.6538049519950386,-11.73523769591193,,-3.072102499715964,-4.694065797060285,-1,0,1,1,H,,1.3e-05,0.0,B-,,1.4e-05,H,1,0.0086,,,Even-Odd,-1.0,1.0
2,1.8225407891238934,-10.133198167903876,,-3.049153800232565,-3.148028121189514,0,1,1,2,H,,1.5e-05,0.0002,B-,,1.5e-05,H,2,0.0088,,,Odd-Odd,0.0,1.2599210498948732
3,1.8748949281393568,-7.66308113166178,0.34733541656436195,-3.042033443219856,-3.6165614570484355,1,2,1,3,H,,8e-05,0.0003,B-,6e-05,8e-05,H,3,0.0363,,,Even-Odd,0.33333333333333337,1.4422495703074083
4,1.8743583669598685,-8.029764010468758,,-3.0421064175172026,-3.3633332572500105,-1,1,2,3,He,,6e-05,0.00015,B-,,6e-05,He,3,0.003,,,Even-Odd,-0.33333333333333326,1.4422495703074083
5,1.5134295010226024,-1.54656144164463,-4.185109984950738,-3.091194081532062,-3.7188313966771713,0,2,2,4,He,,0.00015,0.0002,B-,212.132,0.00016,He,4,0.0028,,,Even-Even,0.0,1.5874010519681994
6,1.951150605211511,-4.708625749750106,1.036911684060656,-3.0316623914422856,-3.241123126042945,2,4,2,6,He,,0.053,0.0089,B-,0.0532,0.057,He,6,0.0111,,,Even-Even,0.33333333333333337,1.8171205928321397
7,1.849990964748938,-4.054993917299608,-0.5044428526518412,-3.0454204745569933,-2.6013243410449918,0,3,3,6,Li,,0.00144,0.0003,B-,5.4478,0.00155,Li,6,0.039,,,Odd-Odd,0.0,1.8171205928321397
8,1.8736624355644378,-3.6601903886127056,0.1731951010203812,-3.0422010667641555,-2.77870641336756,1,4,3,7,Li,,0.00419,0.0006,B-,0.0707,0.0045,Li,7,0.042,,,Even-Odd,0.1428571428571429,1.912931182772389
9,1.898536468789461,-3.9985083110815003,-2.011390712246708,-3.0388181089586275,-2.531594836752672,-1,3,4,7,Be,,0.071,0.0101,B-,25.1504,0.076,Be,7,0.016,2.646,0.016,Even-Odd,-0.1428571428571428,1.912931182772389
10,2.355694788730044,-6.082685957512145,2.4527358346989496,-2.9766428822573867,-3.4149575569190618,4,6,2,8,He,,0.089,0.0111,B-,0.1005,0.095,He,8,0.0306,,,Even-Even,0.5,2.0
11,2.0479378608868766,-4.3036195962093355,3.5089191684201335,-3.018498967967865,-2.9071555002218337,2,5,3,8,Li,,0.047,0.0059,B-,0.0591,0.05,Li,8,0.044,,,Odd-Odd,0.25,2.0
12,2.163639512707729,-4.479257388422003,3.0347117335166836,-3.002763109428231,-3.0221480160723257,3,6,3,9,Li,-3n,0.186,0.0207,B-,0.2014,0.2,Li,9,0.046,,,Even-Odd,0.33333333333333337,2.080083823051904
13,1.7709605565269304,-2.426949477701881,0.132424827026582,-3.0561689054601477,-2.686957065614507,1,5,4,9,Be,,0.076,0.0085,B-,0.8994,0.082,Be,9,0.012,2.519,0.012,Even-Odd,0.11111111111111116,2.080083823051904
14,1.8072960295512797,-2.376594145906811,0.4537959724923189,-3.05122714886372,-2.8875823060345156,2,6,4,10,Be,,0.081,0.0081,B-,0.0822,0.086,Be,10,0.017,2.361,0.017,Even-Even,0.19999999999999996,2.154434690031884
